external_gene_name
Or5m3
Or51f23c-ps1
Irgq
Doc2g
Ceacam16
LOC120100214
LOC120100281
LOC120100116
AABR07000137.1
Mir291b
AABR07054368.1
Zfp108
LOC690251
Got1
Clrn3
Or4k42b
Trip13
Dimt1
Lingo4
Lrrc27
Nelfb
Ghrl
Map6
LOC120100452
LOC120100212
Mir3596c
LOC120100238
Serinc4
LOC100911668
Or2ag2
Zfyve27
LOC120100189
LOC120100115
Or5b107
Mir192
Cyth2
LOC120100325
Snord14b
Sv2b
Nkx6-2
Vom2r-ps62
LOC120100725
Glrx3
Rnu6-26
Pglyrp1
Napb
Lipt2
LOC120100366
Rab5if
LOC120100326
Inka2
LOC120100726
Or5b114
Mir343
Or2d3
LOC102549789
LOC120100416
Rundc3b
Slc13a1
Snord15a
Dpysl4
Rbm45
Or14n1
Or8h10c
LOC120100251
Mir101-2
Fam204a
Irx2
Or2d3c
Sla2
RGD1563562
Snord97
Kirrel1
LOC120100334
Ap4b1
Hypk
LOC120100317
Mir344a-2
LOC120100128
Or8h10b
Ccdc61
Or13a27d
Mfsd1
LOC120093055
Clic3
LOC120100287
Snx27
Or6d13b
Ttyh1
Mir210
LOC108349467
Spred1
Snora20
LOC120100215
LOC120100659
Cobll1
RGD1307554
LOC120100254
Or10a49
Tyr
Rnu6-546
Mfap1a
Ctu1
Rnu6-993
Mir3572
Wt1
Acsm4
Snrpb2
LOC120100386
LOC120100252
Snora29
Amy2a3
Mrpl36
Mir99b
Ust5r
Thbs2
AC095678.2
Bloc1s2
LOC120100403
Rab32
Cebpa
Or5t16
LOC120100319
Tgoln2
LOC120100462
LOC108349691
Mir150
Rbm48
Zfp94
Or56a5
Fezf1
LOC120100427
LOC120100432
LOC120100288
LOC102553625
Paxx
Mir6317
Or8k25
Otor
LOC120101769
LOC100911574
Metazoa_SRP
Rrlt
LOC108350428
Ptgdr2
LOC120100331
Habp2
LOC120100360
Mir344g
AABR07005588.1
Il12a
LOC120100463
LOC102547360
Pnkp
Cfap90
LOC500007
Gde1
Or8k40
LOC120100327
Rnu6-968
Mir330
Or51f4
Sec13
RNaseP_nuc
Wdr76
Fsip2
AABR07006081.1
LOC120100237
LOC120100155
LOC102553736
Mir344i
LOC120100122
Lcn6
Cblc
LOC120098765
Slc28a1
AABR07008309.1
Itpkc
LOC120100464
LOC120100293
