Rat_external_gene_name_b38_Astrocyte,Rat_external_gene_name_b38_Microglia,Rat_external_gene_name_b38_Oligo,Rat_external_gene_name_b38_Endothelial,Rat_external_gene_name_b38_GabaPV,Rat_external_gene_name_b38_GabaRelnCalb,Rat_external_gene_name_b38_GabaVIPReln,Rat_external_gene_name_b38_Microglia_activation,Rat_external_gene_name_b38_Microglia_deactivation,Rat_external_gene_name_b38_OligoPrecursors,Rat_external_gene_name_b38_Pyramidal
Ccn1,Ppp1r15a,Elovl7,Cast,,,,AC141169.3,Mfng,Bub1,
Pdk4,Il6r,Tmem125,Xdh,,,,Nfkbiz,Fam78a,Bmp7,
Lix1,C5ar2,Thbs3,Clec14a,,,,Icam1,Arhgdib,Galnt3,
Slc1a3,C1rl,Nfe2l3,Itga1,,,,RGD1563917,Cd180,Rmdn2,
Aass,Cd37,Cers2,Fgd5,,,,Npl,Ptpn6,Plekhg6,
Nat8,Erap1,Gstp1,Anxa1,,,,Runx1,Lrba,Wipf1,
Ppara,Ehd4,Tex52,Slc22a8,,,,Heatr1,Hexb,Smoc1,
Apoc3,Plekho1,Gsn,Osmr,,,,Pik3r5,Lair1,Chadl,
Cyp2d4,Tnfaip8l2,Ppp1r14a,Zbtb46,,,,Hlx,Pnrc1,Ncmap,
Slco1c1,Adora3,AABR07006871.1,Uaca,,,,Tnf,Tnfrsf1b,C1qtnf6,
Serhl2,Siglec5,Polr3e,AABR07053516.1,,,,Plek,Rps6ka1,Slc6a19,
Sfxn5,Serinc3,Cyp2j10,Emp1,,,,Myc,Cytip,Traf1,
Oplah,Il7r,Grb14,Map3k20,,,,Mlph,Rasl2-9,Sema5b,
Nrarp,Itgam,Ctsk,Slc6a6,,,,Cxcl16,Khk,Scp2,
Tst,C1qc,Pcbp4,Flvcr2,,,,Btg1,Ttc7a,Rtl4,
Chp2,Ctsz,AABR07069837.1,Ecm1,,,,Bcl2a1,Pik3cg,Spsb4,
Ntsr2,Clec5a,RGD1562660,Lef1,,,,Ier3,Irag2,Inhbc,
Slco1b2,Cd52,Arhgef10,Slc52a3,,,,Lcp2,Mpeg1,Plxna3,
Gpam,AABR07006111.1,Slc44a1,Hrct1,,,,Myd88,Parvg,Chaf1b,
Rpe65,Fcgr1a,Jpt2,H6pd,,,,Zfp455,Pld1,Mkrn3,
Nat8b,AABR07061187.1,Kctd13,Gimap5,,,,Ncf1,Aif1,Chst11,
Nat8f1,Rnu11,Nmral1,Ahnak,,,,Nrm,Heatr5a,Chst5,
Sycp2,AC128402.1,Eml1,Apold1,,,,Nfkbie,Tgfbi,Bricd5,
Fxyd1,Rab19,Nipal4,Ptprb,,,,Serpine1,Pld4,Cdo1,
Cyp4f1,Ggta1,Pik3c2b,Map3k6,,,,Casp4,Eno3,Slc25a29,
Arhgef26,Tmem219,Adi1,Degs2,,,,Sla,Lyz2,Catsperd,
Cth,Tbxas1,Plekhg3,Rnf125,,,,Rnasel,Lsp1,Nt5dc1,
Eps8,Tor4a,Gpr62,Ppic,,,,Cd86,Mcat,Fdxr,
Syde2,Pik3cd,Sprtn,Col4a3,,,,AC120949.4,P2ry13,Mapk7,
Lgi4,Ptgs1,Defb41,St6galnac2,,,,Tubb6,Tlr5,Tmem132e,
Igdcc4,Rab43,Prr5l,Rgs5,,,,Ccl4,Cmtm7,Adam9,
Pygb,Ly96,Prima1,Tns1,,,,Sh2b2,Trim47,Mc5r,
Paqr7,Psd4,Tnni1,Crip1,,,,Osbpl11,Scarf2,Ly6g6d,
Ghr,Skap2,Cnmd,Ephb4,,,,Ccl9,Arhgap4,Abtb2,
Or10ad1,Rbm39,Mobp,Fzd6,,,,Rab3il1,Themis2,Tnfrsf11b,
Agl,Leng1,Carhsp1,Acvrl1,,,,Ccl12,Tnfrsf13b,Slc25a30,
Bmpr1b,Lag3,Insc,Gpr182,,,,Per1,Cd48,Creb3l3,
Vnn1,Usp50,Pex5l,Flt4,,,,Ncf2,Arhgap9,Krt17,
Wnt7b,Pdgfb,Aspa,Arhgap6,,,,Vav1,Ltf,Slc7a2,
Cfap100,Hcst,Efhd1,Tinagl1,,,,Mob3a,Upk1b,Gpt2,
Gstm3,Tyrobp,Tmeff1,Igtp,,,,Rnf19b,Traf3ip3,Shmt1,
Vit,Rcor1,Sec14l5,Cavin2,,,,Snord83b,Man2b1,Zfp458,
3110082J24Rik,Nfkb1,Tppp3,Pecam1,,,,Ccnyl1,Cd84,Odf3l1,
Klf15,Grk2,Hapln2,Kdr,,,,Cxcl2,Daglb,Fbn2,
Alpk1,Cntrl,Fbxw12,Rflnb,,,,Ppp1r3b,Ivns1abp,Creb3l1,
Slc4a4,Fez2,Itgb4,Dock6,,,,Samsn1,Elk3,B3gnt5,
Smim3,Rgs19,Slc48a1,Pdgfd,,,,Rrad,Rasa4,Rnf43,
Tlcd1,Gcnt1,Slc26a11,Dennd3,,,,Tlr7,P2ry12,Fam114a1l1,
Nphp3,NEWGENE_735020,Wnt3,Tmem123,,,,Jmjd1c,Frmd4b,Fam114a1,
Dennd4c,Lrrc34,Il17rb,Cnn2,,,,Ifi30,Gpr34,Trim16,
Slc41a1,Otulinl,Myo1d,Prom1,,,,Rbm47,Col27a1,Frmd7,
Grin2c,Gp9,Wipi1,Hspb1,,,,Fcgr2a,Smpdl3b,Boll,
Bdh2,Klrd1,Ado,Esam,,,,Cd83,Dock8,Ampd3,
Itga7,Itpr2,Mog,Myl12a,,,,Fcer1g,Tnfrsf17,Otos,
Aqp9,Epb41l2,Tmem88b,Ifi47,,,,Ccr5,Abi3,Plod2,
Slc6a11,Fermt3,Plekhh1,AABR07040864.1,,,,Smad4,Tlr4,Ocel1,
Msmo1,Abhd15,Cldn14,Adgrf5,,,,Bach1,Inpp5d,Zfp423,
Acot11,Tmem106a,Slc12a2,Clic5,,,,Tpp2,Ngp,Tmco4,
Scara3,Abca1,Kif6,Slc9a3r2,,,,Cd74,Nfam1,Zfp521,
Prkd1,Stat6,RGD1561796,Plscr4,,,,Tlr6,Slc16a6,Erbb3,
Sdsl,Pla2g4a,Lrrc46,Kank3,,,,Ninj1,AABR07066379.1,Neu4,
Ddo,Kng1,Gamt,Ifi44,,,,Mlxip,MGC116197,1810010H24Rik,
Gli2,Kng2l1,Adamtsl1,Tns2,,,,Map3k8,AABR07066700.1,Abca6,
Slc39a12,Casp8,Tmem81,Tek,,,,Rab20,Spetex-2G,Tdrd7,
Slc15a2,RGD1305350,Ugt8,Rbms2,,,,Cxcl10,Spetex-2E,Snx22,
Atp13a4,Pla2g15,Tmem98,Depp1,,,,Fcgr3a,Spetex-2C,Kcnh8,
Olr1075,Pds5a,Lpar1,Slc35f2,,,,Hfe,Abca9,Slc35b2,
Egfr,Grn,Sp7,Igfbp7,,,,Syk,Hps3,Pmel,
Fzd7,Pde3b,Gltp,RGD1565166,,,,Cd14,Cmtm6,Asxl3,
Tp63,Akna,Ccdc89,Smagp,,,,Fcgr2b,Rgs2,Capn11,
Epo,AABR07035839.1,Map6d1,Nod1,,,,,Ctc1,Ntn1,
Aldh1l1,Ebi3,Gjc2,Gata2,,,,,Slc25a37,C1ql1,
Zbtb20,Plcg2,Gjb1,Klf2,,,,,Lst1,Pxn,
Spag1,Rubcnl,AABR07068905.1,Icam2,,,,,Cx3cr1,Cavin4,
Egfl6,Havcr2,Cep97,Vtn,,,,,Il10ra,Evi5l,
Fads2,AABR07029272.1,St18,Robo4,,,,,Tgif1,Rrm2,
Nr2e1,Cyba,Tspan2,Nxn,,,,,Csf1r,Lpo,
Prodh1,Ccl3,Ano4,Slc16a4,,,,,Tifab,Traf4,
2810459M11Rik,Entpd1,Pdlim2,Rhoj,,,,,Snx20,Srebf1,
Mlc1,Sh3tc1,Plpp2,Gjc1,,,,,Fmnl3,Stk32a,
Igfbp5,Lyn,Wrap53,Rassf9,,,,,RGD1559575,Itga9,
AABR07058899.1,Mir142,Gal3st1,Lamb2,,,,,RT1-Ba,Lad1,
AABR07045370.1,Sh2d4b,Anln,Sox13,,,,,Csk,Itgb8,
AC107580.1,AABR07066379.1,AABR07043429.1,Tbx3,,,,,Olfml3,Rgs9,
Lonrf3,MGC116197,Enpp6,Layn,,,,,Cotl1,AABR07066529.1,
Tmem51,AABR07066700.1,Slain1,Stard8,,,,,Slc2a5,Ccdc30,
Dio2,Spetex-2G,Abhd5,Ccl19,,,,,Gal3st4,Nckap5,
Sox9,Spetex-2E,Ccdc13,AABR07026805.2,,,,,Tgfbr1,Ca8,
Calr4,Spetex-2C,Fa2h,S100a11,,,,,Ptafr,Epn2,
Elovl5,Nckap1l,Hhip,Mecom,,,,,Trim65,Armh4,
Olfr287,Galnt10,Ankrd28,Slc19a3,,,,,Camp,Cd70,
Sohlh2,Trpv2,Sema6a,Esyt1,,,,,Uba7,AABR07007068.1,
Fam20a,Crybb1,Rtkn2,Polh,,,,,Tec,Vipr2,
Epx,Gns,AABR07044900.1,Tpm4,,,,,Cryba4,Gm2a,
Olr200,Myl2,RGD1563888,St8sia6,,,,,Ptpn18,Mcm3,
Fgd6,Lgals9,Lgi3,Gstt2,,,,,Lyl1,Nradd,
St3gal4,Lgals5,Pllp,Cdc45,,,,,Slc37a2,Plekho2,
Maob,Clic1,Kif13b,Oasl2,,,,,Cd79b,Slc13a5,
Add3,Tex12,Qdpr,Pdgfrb,,,,,Vamp8,AABR07030861.1,
Prelp,Ptprc,Dock5,Fn1,,,,,Edem1,C1ql2,
Slc27a1,Dusp6,Mbp,Cgnl1,,,,,Pfkfb4,Amigo3,
Trps1,Arrb2,Adamts4,MGC108823,,,,,AABR07028997.1,Papss1,
Agt,AABR07067138.1,AABR07030143.1,Unc45b,,,,,Abcc3,Melk,
Grhl1,AABR07030599.1,,Il1r1,,,,,Galnt12,Dna2,
RGD1309028,Cd80,,Vcl,,,,,Lgmn,Fignl1,
Prr5,Ier2,,Paqr5,,,,,Btk,Cenpj,
Sox21,Gmip,,Foxq1,,,,,Guca1a,Emid1,
F2rl3,Ccl9,,Cdh5,,,,,Ppfia4,Vps37b,
Appl2,Cklf,,Castor1,,,,,Batf3,Mcm5,
Atp1b2,Srgap2,,Tgfbr3,,,,,Csf3r,Pcyox1l,
Cyp2j4,Rp2,,Edn1,,,,,Ang2,Klhl5,
Fgfrl1,Slc11a1,,Rbpms,,,,,Trem2,Derl3,
